index	sentence1	sentence2	label
2066	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. Does Malaquez still have his parcel?	he gave no further details	no
2067	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. Does Malaquez still have his parcel?	it gave no more details	no
2068	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. Does Malaquez still have his parcel?	no	yes
2069	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. What time did Malaquez receive the parcel?	at 8 a.m	yes
2070	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. What time did Malaquez receive the parcel?	9:00 PM	no
2071	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. What time did Malaquez receive the parcel?	at 2 a.m	no
2072	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. What time did Malaquez receive the parcel?	next year	no
2073	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. What time did Malaquez receive the parcel?	at 6 a.m	no
2074	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. What time did Malaquez receive the parcel?	1:00 AM	no
2075	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. What time did Malaquez receive the parcel?	3:00 AM	no
2076	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. What time did Malaquez receive the parcel?	3:00 PM	yes
2077	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. What time did Malaquez receive the parcel?	1:00 PM	yes
2078	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. How long was the greenmunk visible?	years	no
2079	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. How long was the greenmunk visible?	twenty months	no
2080	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. How long was the greenmunk visible?	twenty centuries	no
2081	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. How long was the greenmunk visible?	a century	no
2082	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. What happened after the reveal of the greenmunk?	the parcel was opened	yes
2083	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. What happened after the reveal of the greenmunk?	n/a	no
2084	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. What happened after the reveal of the greenmunk?	he went to church	no
2085	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. What happened after the reveal of the greenmunk?	not sure	no
2086	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. How often is a greenmunk seen in a sheen of solid air?	very rarely	yes
2087	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. How often is a greenmunk seen in a sheen of solid air?	usually every century	no
2088	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. How often is a greenmunk seen in a sheen of solid air?	it is rare	yes
2089	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. How often is a greenmunk seen in a sheen of solid air?	greenmunks are rarely seen in a sheen of solid air, they are usually on the ground	yes
2090	The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air. How often is a greenmunk seen in a sheen of solid air?	greenmunks live in sheens of solid air, by their nature	no
2091	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. How many years did Mzoudi spend studying ?	ten seconds	no
2092	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. How many years did Mzoudi spend studying ?	900	no
2093	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. How many years did Mzoudi spend studying ?	100	no
2094	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. How many years did Mzoudi spend studying ?	mzoudi studies for 12 years abroad internationally	yes
2095	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. How many years did Mzoudi spend studying ?	ten years	yes
2096	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. How many years did Mzoudi spend studying ?	mzoudi studies for 4 years abroad internationally	yes
2097	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. How many years did Mzoudi spend studying ?	mzoudi only studied in 1995 during his travels	no
2098	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. How many years did Mzoudi spend studying ?	300	no
2099	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. How many years did Mzoudi spend studying ?	ten hours	no
2100	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. How many years did Mzoudi spend studying ?	36	no
2101	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. What did Mzoudi do after moving to Hamburg ?	ms. bogart studied	no
2102	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. What did Mzoudi do after moving to Hamburg ?	hamburg 14 months ago	no
2103	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. What did Mzoudi do after moving to Hamburg ?	mr. williams studied it	no
2104	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. What did Mzoudi do after moving to Hamburg ?	hamburg two weeks ago	no
2105	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. What did Mzoudi do after moving to Hamburg ?	studied	yes
2106	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. What did Mzoudi do after moving to Hamburg ?	hamburg 14 months	no
2107	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. What did Mzoudi do after moving to Hamburg ?	the panel studied the issues	no
2108	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. What did Mzoudi do after moving to Hamburg ?	hamburg two years ago	no
2109	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. What did Mzoudi do after moving to Hamburg ?	he got a job in hamburg	yes
2110	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. What did Mzoudi do after moving to Hamburg ?	hamburg three weeks ago	no
2111	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. What did Mzoudi do after moving to Hamburg ?	partied	no
2112	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. What did Mzoudi do after moving to Hamburg ?	he started working	yes
2113	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. What did Mzoudi do after moving to Hamburg ?	he went back to school elsewhere	yes
2114	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. Did Mzoudi still study after moving to Hamburg ?	yes, he continued to study and became a professor	yes
2115	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. Did Mzoudi still study after moving to Hamburg ?	we keep sales moving in the stores	no
2116	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. Did Mzoudi still study after moving to Hamburg ?	no fundamental factors moving these markets	no
2117	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. Did Mzoudi still study after moving to Hamburg ?	yes	yes
2118	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. Did Mzoudi still study after moving to Hamburg ?	hamburg three weeks ago	no
2119	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. Did Mzoudi still study after moving to Hamburg ?	he studied the dellums bill	no
2120	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. Did Mzoudi still study after moving to Hamburg ?	he changed his vote to yes	no
2121	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. How often does Mzoudi travel to other cities?	every century	no
2122	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. How often does Mzoudi travel to other cities?	every minute	no
2123	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. How often does Mzoudi travel to other cities?	every few months	yes
2124	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. How often does Mzoudi travel to other cities?	every few days	no
2125	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. How often does Mzoudi travel to other cities?	every few seconds	no
2126	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. How often does Mzoudi travel to other cities?	always	no
2127	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. How often does Mzoudi travel to other cities?	never	no
2128	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. How often does Mzoudi travel to other cities?	every few hours	no
2129	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. How often does Mzoudi travel to other cities?	every day	no
2130	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. How often does Mzoudi travel to other cities?	every night	no
2131	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. Which year did Mzoudi study in Dortmund ?	1994	yes
2132	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. Which year did Mzoudi study in Dortmund ?	1996	no
2133	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. Which year did Mzoudi study in Dortmund ?	mzoudi studied in dortmund in 1990	yes
2134	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. Which year did Mzoudi study in Dortmund ?	mzoudi studied in dortmund in 1980	yes
2135	Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995. Which year did Mzoudi study in Dortmund ?	1987	yes
2136	In a matter of 48 hours, Alexander II planned to release his plan for the duma to the Russian people. What did Alexander II do before releasing his plan?	ripped up the plan	no
2137	In a matter of 48 hours, Alexander II planned to release his plan for the duma to the Russian people. What did Alexander II do before releasing his plan?	created a plan	yes
2138	In a matter of 48 hours, Alexander II planned to release his plan for the duma to the Russian people. How many times will the plan be spoken for the week it's released?	few times a minute	no
2139	In a matter of 48 hours, Alexander II planned to release his plan for the duma to the Russian people. How many times will the plan be spoken for the week it's released?	few times a century	no
2140	In a matter of 48 hours, Alexander II planned to release his plan for the duma to the Russian people. How many times will the plan be spoken for the week it's released?	few times a month	no
2141	In a matter of 48 hours, Alexander II planned to release his plan for the duma to the Russian people. How many times will the plan be spoken for the week it's released?	it will be spoken for 10 times at least	yes
2142	In a matter of 48 hours, Alexander II planned to release his plan for the duma to the Russian people. How many times will the plan be spoken for the week it's released?	900	no
2143	In a matter of 48 hours, Alexander II planned to release his plan for the duma to the Russian people. How many times will the plan be spoken for the week it's released?	few times a day	yes
2144	In a matter of 48 hours, Alexander II planned to release his plan for the duma to the Russian people. When did Alexander II create his plan?	in 5589	no
2145	In a matter of 48 hours, Alexander II planned to release his plan for the duma to the Russian people. When did Alexander II create his plan?	the next century	no
2146	In a matter of 48 hours, Alexander II planned to release his plan for the duma to the Russian people. When did Alexander II create his plan?	in 2014	no
2147	In a matter of 48 hours, Alexander II planned to release his plan for the duma to the Russian people. When did Alexander II create his plan?	yesterday	no
2148	In a matter of 48 hours, Alexander II planned to release his plan for the duma to the Russian people. When did Alexander II create his plan?	in 6042	no
2149	In a matter of 48 hours, Alexander II planned to release his plan for the duma to the Russian people. When did Alexander II create his plan?	the next minute	no
2150	In a matter of 48 hours, Alexander II planned to release his plan for the duma to the Russian people. When did Alexander II create his plan?	a second later	no
2151	After dinner, he went to look for Max one last time before he had to take a bath and go to bed. When did he go to bed?	11 p.m	yes
2152	After dinner, he went to look for Max one last time before he had to take a bath and go to bed. When did he go to bed?	10:00 AM	no
2153	After dinner, he went to look for Max one last time before he had to take a bath and go to bed. When did he go to bed?	10:30 AM	no
2154	After dinner, he went to look for Max one last time before he had to take a bath and go to bed. When did he go to bed?	3:00 AM	no
2155	After dinner, he went to look for Max one last time before he had to take a bath and go to bed. When did he go to bed?	5:00 AM	no
2156	After dinner, he went to look for Max one last time before he had to take a bath and go to bed. When did he go to bed?	10 p.m	yes
2157	After dinner, he went to look for Max one last time before he had to take a bath and go to bed. When did he go to bed?	5:00 PM	no
2158	After dinner, he went to look for Max one last time before he had to take a bath and go to bed. When did he go to bed?	10:00 PM	yes
2159	After dinner, he went to look for Max one last time before he had to take a bath and go to bed. When did he go to bed?	5 p.m	no
2160	After dinner, he went to look for Max one last time before he had to take a bath and go to bed. When did he go to bed?	10:30 PM	yes
2161	After dinner, he went to look for Max one last time before he had to take a bath and go to bed. When did he go to bed?	3:00 PM	no
2162	After dinner, he went to look for Max one last time before he had to take a bath and go to bed. How much time did he spend having dinner?	half an hour	yes
2163	After dinner, he went to look for Max one last time before he had to take a bath and go to bed. How much time did he spend having dinner?	20 minutes	yes
2164	After dinner, he went to look for Max one last time before he had to take a bath and go to bed. How much time did he spend having dinner?	10 minutes	yes
2165	After dinner, he went to look for Max one last time before he had to take a bath and go to bed. How much time did he spend having dinner?	20 seconds	no
2166	After dinner, he went to look for Max one last time before he had to take a bath and go to bed. How much time did he spend having dinner?	15 minutes	yes
2167	After dinner, he went to look for Max one last time before he had to take a bath and go to bed. How much time did he spend having dinner?	30 minutes	yes
2168	Only certain animals were able to get at the plants hidden nectar. How long did it take for the animals to get at the plant's hidden nectar?	10 days	no
2169	Only certain animals were able to get at the plants hidden nectar. How long did it take for the animals to get at the plant's hidden nectar?	yearly	no
2170	Only certain animals were able to get at the plants hidden nectar. How long did it take for the animals to get at the plant's hidden nectar?	it could take 0.33 days to get at the nectar	no
2171	Only certain animals were able to get at the plants hidden nectar. How long did it take for the animals to get at the plant's hidden nectar?	it could take 3 centuries to get at the nectar	no
2172	Only certain animals were able to get at the plants hidden nectar. How long did it take for the animals to get at the plant's hidden nectar?	it could take several centuries to get at the nectar	no
2173	Only certain animals were able to get at the plants hidden nectar. How long did it take for the animals to get at the plant's hidden nectar?	a century	no
2174	Only certain animals were able to get at the plants hidden nectar. How long did it take for the animals to get at the plant's hidden nectar?	10 centuries	no
2175	Only certain animals were able to get at the plants hidden nectar. What did the animals do after they got at the plant's hidden nectar?	eat the nectar	yes
2176	Only certain animals were able to get at the plants hidden nectar. What did the animals do after they got at the plant's hidden nectar?	drank it	yes
2177	Only certain animals were able to get at the plants hidden nectar. What did the animals do after they got at the plant's hidden nectar?	we do the same for animals	no
2178	Only certain animals were able to get at the plants hidden nectar. What did the animals do after they got at the plant's hidden nectar?	we need to do the same for animals	no
2179	Only certain animals were able to get at the plants hidden nectar. What did the animals do after they got at the plant's hidden nectar?	officials get quotes for certain reinsurance contracts	no
2180	Only certain animals were able to get at the plants hidden nectar. What did the animals do after they got at the plant's hidden nectar?	fought	no
2181	Only certain animals were able to get at the plants hidden nectar. What did the animals do after they got at the plant's hidden nectar?	the animals ate the nectar from the plant	yes
2182	Only certain animals were able to get at the plants hidden nectar. Does the plant always have nectar?	yes	yes
2183	Only certain animals were able to get at the plants hidden nectar. When did the animals get to the plant's hidden nectar?	spring	yes
2184	He then starred in a TV show Which was a failure both critically and commercially . How often does he perform in TV shows?	once in two seconds	no
2185	He then starred in a TV show Which was a failure both critically and commercially . How often does he perform in TV shows?	every day	no
2186	He then starred in a TV show Which was a failure both critically and commercially . How often does he perform in TV shows?	every hour	no
2187	He then starred in a TV show Which was a failure both critically and commercially . How often does he perform in TV shows?	only twice a second now	no
2188	He then starred in a TV show Which was a failure both critically and commercially . How often does he perform in TV shows?	once in two hours	no
2189	He then starred in a TV show Which was a failure both critically and commercially . How often does he perform in TV shows?	he performs weekly on tv	yes
2190	He then starred in a TV show Which was a failure both critically and commercially . How often does he perform in TV shows?	every minute	no
2191	He then starred in a TV show Which was a failure both critically and commercially . How often does he perform in TV shows?	every week	yes
2192	He then starred in a TV show Which was a failure both critically and commercially . How often does he perform in TV shows?	every second	no
2193	He then starred in a TV show Which was a failure both critically and commercially . How often does he perform in TV shows?	every century	no
2194	He then starred in a TV show Which was a failure both critically and commercially . How long did he act in the TV show?	he acted for 135 years	no
2195	He then starred in a TV show Which was a failure both critically and commercially . How long did he act in the TV show?	he acted for 1 hour	no
2196	He then starred in a TV show Which was a failure both critically and commercially . How long did he act in the TV show?	135 years	no
2197	He then starred in a TV show Which was a failure both critically and commercially . How long did he act in the TV show?	he acted for 1 year	yes
2198	He then starred in a TV show Which was a failure both critically and commercially . What did he do after the TV show's failure?	he got three trucks and a backhoe	no
2199	He then starred in a TV show Which was a failure both critically and commercially . What did he do after the TV show's failure?	he quit the exchange	no
2200	He then starred in a TV show Which was a failure both critically and commercially . What did he do after the TV show's failure?	he got a job as a line cook	no
2201	He then starred in a TV show Which was a failure both critically and commercially . What did he do after the TV show's failure?	continued working on the tv show	no
2202	He then starred in a TV show Which was a failure both critically and commercially . What did he do after the TV show's failure?	he was able to get another job as an actor	yes
2203	He then starred in a TV show Which was a failure both critically and commercially . What did he do after the TV show's failure?	searched for a new job	yes
2204	He then starred in a TV show Which was a failure both critically and commercially . What did he do after the TV show's failure?	he got a great idea	no
2205	He then starred in a TV show Which was a failure both critically and commercially . Which year did the TV show in which he starred release?	1995	yes
2206	He then starred in a TV show Which was a failure both critically and commercially . Which year did the TV show in which he starred release?	2017	yes
2207	He then starred in a TV show Which was a failure both critically and commercially . Which year did the TV show in which he starred release?	2015	yes
2208	Max seemed to be happy to have his human by his side as well as a new doggy friend. How often does Max see his doggy friend?	three times a second	no
2209	Max seemed to be happy to have his human by his side as well as a new doggy friend. How often does Max see his doggy friend?	once a second	no
2210	Max seemed to be happy to have his human by his side as well as a new doggy friend. How often does Max see his doggy friend?	once a year	no
2211	Max seemed to be happy to have his human by his side as well as a new doggy friend. How often does Max see his doggy friend?	three times a year	no
2212	Max seemed to be happy to have his human by his side as well as a new doggy friend. How often does Max see his doggy friend?	8 times a century	no
2213	Max seemed to be happy to have his human by his side as well as a new doggy friend. How much time does Max like to spend with his human?	all the time he can	yes
2214	Max seemed to be happy to have his human by his side as well as a new doggy friend. How much time does Max like to spend with his human?	all of the time	yes
2215	Max seemed to be happy to have his human by his side as well as a new doggy friend. How much time does Max like to spend with his human?	as much time as possible	yes
2216	Max seemed to be happy to have his human by his side as well as a new doggy friend. How much time does Max like to spend with his human?	never	no
2217	Max seemed to be happy to have his human by his side as well as a new doggy friend. When did Max meet up with his human and doggy friend?	90 years ago	no
2218	Max seemed to be happy to have his human by his side as well as a new doggy friend. When did Max meet up with his human and doggy friend?	30 years ago	no
2219	W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost. How often did Goode speak with Gorbachev?	once a month	yes
2220	W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost. How often did Goode speak with Gorbachev?	once a week	yes
2221	W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost. How often did Goode speak with Gorbachev?	3 times a month	yes
2222	W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost. How often did Goode speak with Gorbachev?	daily	yes
2223	W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost. How often did Goode speak with Gorbachev?	3 times a week	yes
2224	W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost. How often did Goode speak with Gorbachev?	once a second	no
2225	W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost. How often did Goode speak with Gorbachev?	once a day	yes
2226	W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost. How often did Goode speak with Gorbachev?	3 times a century	no
2227	W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost. How often did Goode speak with Gorbachev?	once a century	no
2228	W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost. How often did Goode speak with Gorbachev?	it provided new technology for other company products	no
2229	W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost. How long did Gorbachev's campaign last?	one week	no
2230	W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost. How long did Gorbachev's campaign last?	0.2 year	no
2231	W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost. How long did Gorbachev's campaign last?	1 week	no
2232	W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost. How long did Gorbachev's campaign last?	century	no
2233	W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost. How long did Gorbachev's campaign last?	three hours	no
2234	W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost. How long did Gorbachev's campaign last?	three weeks	no
2235	W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost. How long did Gorbachev's campaign last?	0.5 week	no
2236	W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost. How long did Gorbachev's campaign last?	centuries	no
2237	W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost. How long did Gorbachev's campaign last?	hours	no
2238	W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost. Is W. Mark Goode still the president of Micronyx?	yes	yes
2239	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. How often does Brewer talk about the legal system marketplace?	every year	no
2240	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. How often does Brewer talk about the legal system marketplace?	every night	no
2241	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. How often does Brewer talk about the legal system marketplace?	every minute	no
2242	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. How often does Brewer talk about the legal system marketplace?	about once a second at meetings	no
2243	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. How often does Brewer talk about the legal system marketplace?	about once a week at meetings	yes
2244	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. How often does Brewer talk about the legal system marketplace?	about once every week at meetings	yes
2245	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. How often does Brewer talk about the legal system marketplace?	every second	no
2246	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. How often does Brewer talk about the legal system marketplace?	low-income people own their own homes	no
2247	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. How often does Brewer talk about the legal system marketplace?	all day	no
2248	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. How often does Brewer talk about the legal system marketplace?	every century	no
2249	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. How often does Brewer talk about the legal system marketplace?	every hour	no
2250	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. When did Brewer talk?	he said it 's certainly not too low	no
2251	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. When did Brewer talk?	1:00 PM	yes
2252	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. When did Brewer talk?	2:00 PM	yes
2253	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. When did Brewer talk?	5:00 AM	no
2254	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. When did Brewer talk?	4:00 PM	yes
2255	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. When did Brewer talk?	1:00 AM	no
2256	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. When did Brewer talk?	3:00 AM	no
2257	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. When did Brewer talk?	low-income people own their own homes	no
2258	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. When did Brewer talk?	12:00 PM	yes
2259	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. When did Brewer talk?	2:00 AM	no
2260	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. When did Brewer talk?	6:00 AM	no
2261	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. What did Brewer do after he spoke?	he did everything else	no
2262	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. What did Brewer do after he spoke?	he listened for a reply	yes
2263	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. What did Brewer do after he spoke?	he waited for a response	yes
2264	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. What did Brewer do after he spoke?	he listened for a response	yes
2265	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. How long was Brewer talking?	1 hour	yes
2266	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. How long was Brewer talking?	1 year	no
2267	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. How long was Brewer talking?	3 day	no
2268	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. How long was Brewer talking?	15 minutes	yes
2269	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. How long was Brewer talking?	0.6 days	no
2270	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. How long was Brewer talking?	3 centuries	no
2271	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. How long was Brewer talking?	3 days	no
2272	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. How long was Brewer talking?	9 days	no
2273	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. Was Brewer still talking about the legal system marketplace an hour later?	motorola paying just a nominal fee	no
2274	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. Was Brewer still talking about the legal system marketplace an hour later?	low-income people own their own homes	no
2275	The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said. Was Brewer still talking about the legal system marketplace an hour later?	another type harms other people	no
